Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
59.1,6.2012,1.1822,6.2985
59.2,6.2116,1.183,6.312
59.3,6.2222,1.1836,6.3283
59.4,6.2327,1.184,6.3408
59.5,6.2432,1.1846,6.356
59.6,6.2537,1.1852,6.3699
59.7,6.2642,1.1859,6.3839
59.8,6.2746,1.1864,6.3988
59.9,6.2852,1.1872,6.4133
60,6.2956,1.1877,6.4267
60.1,6.3062,1.1883,6.4423
60.2,6.3167,1.1888,6.4558
60.3,6.3272,1.1894,6.4708
60.4,6.3376,1.19,6.4854
60.5,6.3482,1.1906,6.499
60.6,6.3587,1.191,6.5144
60.7,6.3692,1.1917,6.5283
60.8,6.3796,1.1921,6.542
60.9,6.3901,1.1928,6.5578
61,6.4007,1.1934,6.5713
61.1,6.4112,1.1939,6.5857
61.2,6.4217,1.1945,6.6011
61.3,6.4322,1.1952,6.6147
61.4,6.4427,1.1956,6.6296
61.5,6.4532,1.196,6.6445
61.6,6.4637,1.1966,6.6584
61.7,6.4741,1.1972,6.6737
61.8,6.4847,1.198,6.688
61.9,6.4953,1.1985,6.7019
62,6.5057,1.1987,6.7177
62.1,6.5161,1.1994,6.7308
62.2,6.5267,1.1999,6.7459
62.3,6.5371,1.2005,6.7608
62.4,6.5477,1.201,6.7748
62.5,6.5581,1.2013,6.7905
62.6,6.5687,1.2019,6.8051
62.7,6.5791,1.2025,6.8187
62.8,6.5897,1.203,6.8345
62.9,6.6001,1.2034,6.8478
63,6.6107,1.2039,6.8627
63.1,6.6212,1.2045,6.8785
63.2,6.6317,1.2049,6.8919
63.3,6.6422,1.2054,6.9073
63.4,6.6526,1.2059,6.9221
63.5,6.6632,1.2063,6.9366
63.6,6.6737,1.207,6.9524
63.7,6.6841,1.2075,6.9662
63.8,6.6946,1.2079,6.9803
63.9,6.7052,1.2082,6.9964
64,6.7157,1.2087,7.01
64.1,6.7262,1.2093,7.0245
64.2,6.7367,1.2095,7.0401
64.3,6.7472,1.2104,7.0548
64.4,6.7576,1.2106,7.0695
64.5,6.7682,1.211,7.0851
64.6,6.7786,1.2114,7.0987
64.7,6.7892,1.212,7.1144
64.8,6.7997,1.2125,7.1289
64.9,6.8102,1.2127,7.1435
65,6.8206,1.2133,7.1592
65.1,6.8311,1.2138,7.1731
65.2,6.8416,1.2144,7.1888
65.3,6.8522,1.2148,7.2045
65.4,6.8627,1.2151,7.2185
65.5,6.8731,1.2156,7.2338
65.6,6.8837,1.2163,7.2489
65.7,6.8942,1.2163,7.2636
65.8,6.9047,1.217,7.2793
65.9,6.9152,1.2171,7.2931
66,6.9257,1.2175,7.3079
66.1,6.9362,1.2179,7.324
66.2,6.9467,1.2185,7.3383
66.3,6.9571,1.219,7.3532
66.4,6.9677,1.2194,7.3695
66.5,6.9782,1.2198,7.3836
66.6,6.9887,1.2203,7.3991
66.7,6.9991,1.2205,7.4144
66.8,7.0097,1.2212,7.4293
66.9,7.0201,1.2214,7.4452
67,7.0307,1.2219,7.4601
67.1,7.0412,1.2224,7.4745
67.2,7.0516,1.2224,7.4899
67.3,7.0621,1.2226,7.5037
67.4,7.0727,1.2229,7.519
67.5,7.0831,1.2234,7.5348
67.6,7.0937,1.2239,7.5495
67.7,7.1041,1.2244,7.5657
67.8,7.1147,1.2248,7.5804
67.9,7.1252,1.2252,7.5951
68,7.1356,1.2254,7.6116
68.1,7.1462,1.2259,7.6261
68.2,7.1567,1.2265,7.6414
68.3,7.1672,1.2268,7.6578
68.4,7.1777,1.2272,7.6722
68.5,7.1882,1.2275,7.6877
68.6,7.1987,1.2277,7.7033
68.7,7.2093,1.228,7.7171
68.8,7.2197,1.2283,7.7327
68.9,7.2302,1.2285,7.7482
69,7.2406,1.2292,7.7628
69.1,7.2512,1.2293,7.7794
69.2,7.2616,1.2299,7.7943
69.3,7.2722,1.2302,7.809
69.4,7.2827,1.2305,7.8259
69.5,7.2931,1.2308,7.8407
69.6,7.3036,1.2311,7.8561
69.7,7.3142,1.2315,7.8723
69.8,7.3246,1.232,7.8868
69.9,7.3352,1.2323,7.9031
70,7.3457,1.2327,7.9184
70.1,7.3561,1.2329,7.9331
70.2,7.3666,1.233,7.9489
70.3,7.3772,1.233,7.9633
70.4,7.3877,1.2335,7.9782
70.5,7.3982,1.2338,7.9948
70.6,7.4087,1.2342,8.0098
70.7,7.4192,1.2344,8.0253
70.8,7.4297,1.235,8.0419
70.9,7.4401,1.2354,8.0562
71,7.4507,1.2357,8.0727
71.1,7.4612,1.2359,8.0882
